,Train,Actual
0,185.302679914313,185.302679914313
1,188.65861985943303,188.65861985943306
2,195.36161631184865,195.36161631184865
3,195.6656955252609,195.6656955252609
4,201.96991498563457,201.96991498563457
5,205.01340047197664,205.01340047197664
6,214.92487733376072,206.60839139537237
7,228.86754539548448,219.13039955698528
8,231.78205275085816,230.81417364939438
9,238.01853288165455,236.34816363795017
10,244.16345718471703,242.5367796011918
11,248.19023348635724,245.30656234662973
12,251.06930278664265,249.72693947319806
13,252.2767633831137,252.27676338311366
14,260.1530994345542,257.5707230338824
15,264.8978347476418,263.6789595125105
16,267.64321682281184,266.1803756689462
17,268.350864979513,267.64321682281184
18,267.4699717131936,268.350864979513
19,270.6373260743485,267.4699717131936
20,272.2776089583341,270.6373260743485
21,277.20095504467895,272.2776089583341
22,280.3508856549305,277.20095504467895
23,279.26321979275605,280.3508856549305
24,285.7599142716136,279.26321979275605
25,289.2482304453457,285.7599142716136
26,291.4825411943545,289.2482304453457
27,290.6759979779554,291.4825411943545
28,290.6759979779554,291.4926443809545
29,292.3728051015288,291.1130949264078
30,292.8272234346118,292.7028421232128
31,293.3032811976072,292.3728051015288
32,297.7519193630872,292.8272234346118
33,297.7519193630872,293.3032811976072
34,301.7522807013293,297.2975010300042
35,308.7034521971366,300.5939450180508
36,308.32011393677743,307.06263174064264
37,312.5104470780008,306.6492474676686
38,313.451842301022,309.28297756241363
39,314.51445416999184,312.5104470780008
40,315.97831644817086,313.451842301022
41,317.4015610654123,314.51445416999184
42,316.92502366379927,315.97831644817086
43,317.78200553725213,317.4015610654123
44,317.78200553725213,316.92502366379927
45,317.4015610654123,317.78200553725213
46,314.10988295235444,317.78200553725213
47,313.0204154834996,317.4015610654123
48,311.7881431760856,314.10988295235444
49,311.1479935065621,313.0204154834996
50,310.6457789369304,311.7881431760856
51,311.1479935065621,311.1479935065621
52,310.72605390240307,310.6457789369304
53,310.25227048813656,312.3933577733304
54,307.33952466553365,310.46996859581077
55,309.1109468008774,311.9183780514551
56,308.02608605750555,309.60002657667496
57,305.0584564770413,307.7939429986167
58,304.4069868407364,309.65834205175514
59,301.37475620685547,308.4403520006027
60,295.57264029428785,304.4069868407364
61,292.4569389999421,302.33246186096085
62,288.0389013553671,301.37475620685547
63,288.47060269480596,295.57264029428785
64,281.44645909293854,292.4569389999421
65,275.3608940559684,288.0389013553671
66,273.21862211089905,288.47060269480596
67,267.44710185282827,281.44645909293854
68,264.5641041719598,275.3608940559684
69,265.67040894141326,273.21862211089905
70,262.70103429834205,267.44710185282827
71,262.08869875285257,264.5641041719598
72,259.1704710122773,265.67040894141326
73,258.0104692133377,263.96656732406626
74,253.63971621668935,262.7874532064336
75,249.65018696785185,261.869897645844
76,246.77719318199792,258.0104692133377
77,243.95866165506249,253.79400131100573
78,244.0001803286019,249.77850161649118
79,241.27310044960063,250.70675164704647
80,236.55841060316652,246.22609464697962
81,234.2439347785018,244.0001803286019
82,228.07333251107335,242.35402463626133
83,227.31614007526463,238.17636877549688
84,224.74450211935888,236.55841060316652
85,216.99010440985964,234.2439347785018
86,211.9739415009392,228.07333251107337
87,206.7320937927589,227.31614007526466
88,205.1288137280784,224.74450211935886
89,202.55087548166696,216.99010440985964
90,197.87743790121257,211.97394150093922
91,195.2694453338808,206.73209379275886
92,194.0692696876376,205.1288137280784
93,191.01828595327385,202.55087548166696
94,188.74767135675543,197.87743790121255
95,185.39459755745423,195.2694453338808
96,186.60130351676133,196.26838339350562
97,186.645685497771,192.09341566387084
98,186.645685497771,189.84550069288883
99,186.645685497771,186.52150689860892
